도로코드,도로명,전체 유동인구,남성 유동인구,여성 유동인구,10대 유동인구,20대 유동인구,30대 유동인구,40대 유동인구, 50대 유동인구, 60대 이상 유동인구
000523,마장로35나길,10053,5323,4730,287,2595,1905,1781,1807,1678
000524,마장로37길,3123,1568,1554,185,643,659,561,555,521
000525,마장로9길,68553,36337,32215,2254,14924,16725,11688,12575,10387
000526,마천로51길,64125,31958,32166,2956,9714,10542,12421,15031,13460
000527,마천로57길,14889,8384,6505,355,2003,2133,3030,3272,4095
000528,마천로7길,9511,4617,4893,635,1023,1904,1639,2137,2171
000529,마포대로12길,11689,6851,4837,224,2363,3010,2609,2168,1314
000530,마포대로14길,52522,28991,23532,1073,12492,13063,11124,9120,5650
000531,마포대로16길,53845,27191,26654,1946,14430,14904,10147,7572,4845
000532,마포대로20길,22260,11425,10835,345,4847,6389,4179,3758,2744
000533,마포대로4길,66759,35481,31278,2882,15269,16619,13578,10922,7489
000534,마포대로4다길,13305,6763,6542,445,3215,3528,2481,2070,1565
000535,만리재로24길,17616,9379,8237,1118,3880,4017,3611,3435,1554
000536,만리재로35길,29048,16072,12977,934,5668,7002,5793,5628,4023
000537,만리재옛길,145395,74721,70675,6236,33107,33417,28714,26285,17636
000538,망우로10길,39095,21546,17550,3737,18122,5570,4049,4189,3429
000539,망우로14길,69648,38232,31416,7473,30003,9857,7147,7839,7329
000540,망우로16길,120308,64994,55313,11807,47735,17407,13611,15474,14274
000541,망우로18다길,25139,13479,11660,3479,11553,2980,2442,2570,2116
000542,망우로20가길,6406,3495,2910,533,2771,979,670,767,686
000543,망우로21가길,42830,21519,21310,3207,14906,7146,5899,5948,5724
000544,망우로32길,40142,20621,19520,2653,11412,7945,6570,6805,4757
000545,망우로42길,71301,36388,34913,3860,18271,13576,10640,12612,12342
000546,망우로43길,5974,2984,2990,353,1847,1130,754,910,981
000547,망우로50길,75770,36110,39660,2708,15938,17128,13610,14967,11419
000548,망우로66길,29564,16795,12768,840,5703,4716,5433,7376,5496
000549,매봉길,24436,10956,13481,953,4378,6275,5014,3620,4197
000550,면목로13길,20425,10677,9749,427,3917,4502,3327,4648,3605
000551,면목로27길,50393,24046,26348,2568,8214,11277,9579,10275,8481
000552,면목로33길,160833,77787,83046,9491,26741,34459,30044,32498,27601
000553,면목로35길,18381,9262,9119,210,3265,3766,3695,3888,3556
000554,면목로40길,40349,19991,20358,2180,9183,7921,6561,7463,7041
000555,면목로48길,92685,47671,45014,6057,23424,18629,15165,16353,13057
000556,면목로54길,73282,37071,36211,4848,16771,14992,13221,13448,10003
000557,면목로58길,28020,14322,13698,1599,5385,5097,5684,5718,4537
000558,면목로74길,41114,19803,21311,2523,7632,7805,6894,9148,7112
000559,면목로79길,41783,20659,21124,3012,7923,8126,6635,9227,6860
000560,면목로84길,22407,12106,10301,176,4934,5267,4006,4792,3232
000561,면목로91길,83123,43384,39738,2041,18872,16471,13652,17486,14601
000562,면목로92길,114358,59055,55303,3358,26588,23990,18513,23694,18217
000563,면목천로23길,54595,25695,28900,2598,9837,9890,9180,12802,10289
000564,명동길,80407,36706,43701,3370,25959,18367,14144,10251,8316
000565,명륜길,134233,68040,66193,21907,75181,13137,9590,8364,6054
000566,명지대7길,16930,8263,8667,3215,5719,2243,2185,2042,1526
000567,명지대길,49222,24924,24299,12027,20512,4543,4850,4240,3051
000568,모래내로24길,29774,13962,15812,2804,6259,5795,4934,5568,4414
000569,목동남로2길,21336,11546,9790,1383,4101,3613,4118,4143,3977
000570,목동남로4길,16938,9569,7368,1183,3240,2620,3120,3327,3448
000571,목동중앙남로10길,9555,4808,4746,1059,1692,1443,2302,2123,936
000572,목동중앙남로11길,14187,7731,6455,2631,2276,2716,2176,2308,2079
000573,목동중앙남로13길,17583,9457,8126,3116,2763,3552,2609,2867,2675
000574,목동중앙남로4길,5172,2694,2479,570,730,631,1439,1316,487
000575,목동중앙본로28길,17062,8588,8474,936,3847,4592,2737,2807,2142
000576,목동중앙본로7길,17173,8240,8933,1566,3527,3166,3670,3436,1809
000577,목동중앙북로7길,18111,8883,9228,1183,4205,4118,3047,3220,2337
000578,목동중앙북로8라길,25224,12858,12366,1468,5191,4887,4421,5249,4008
000579,목동중앙서로7길,64299,32533,31766,7441,12268,12232,12425,11867,8066
000580,무수막길,153025,71495,81530,10813,25123,36505,27909,25812,26864
000581,무학로14길,27064,14663,12401,1061,5315,5905,4920,5655,4208
000582,무학로19길,4886,2777,2109,37,980,1203,1004,959,703
000583,무학로27길,26039,15243,10796,733,5689,5797,4930,4946,3943
000584,무학로30길,86853,47031,39823,2430,21002,17416,14759,17329,13917
000585,무학로43길,23811,15377,8434,2779,10945,3818,2300,2476,1493
000586,무학봉15가길,5248,2381,2866,262,1177,951,839,1261,758
000587,무학봉15길,29434,14252,15182,1615,7832,5902,4674,5636,3775
000588,무학봉길,41417,20033,21384,2337,10486,7729,6894,8449,5522
000589,문성로30길,32483,16168,16315,2812,9307,6399,4372,4730,4863
000590,문성로5길,42859,23200,19659,1561,7640,9183,7458,9880,7138
000591,문화촌길,26190,12772,13418,2136,4754,3619,5211,5242,5228
000592,미성3길,19693,10850,8843,1313,3894,3520,3134,4449,3383
000593,미성길,9218,5611,3607,199,2073,1976,1241,2217,1512
000594,바람드리길,116755,57680,59075,5376,22695,23940,20448,23720,20576
000595,바우뫼로37길,38119,21728,16390,376,8941,11416,8337,5067,3982
000596,바우뫼로39길,134276,75727,58549,3319,32830,32760,24059,19845,21464
000597,바우뫼로7길,4547,2497,2051,55,715,1080,832,1020,846
000598,반포대로12길,17763,9658,8105,435,4668,4134,3710,2881,1936
000599,반포대로19길,16092,9097,6996,389,4100,4065,2964,2531,2042
000600,반포대로21길,23123,13014,10109,1186,5498,5399,4116,3690,3235
000601,반포대로22길,27670,14822,12848,602,6159,6994,5867,4510,3539
000602,반포대로39길,16499,8167,8332,881,3293,3942,3454,2701,2228
000603,반포대로9길,104780,54430,50350,9850,23219,21928,19795,16738,13249
000604,방배로15길,27609,13796,13814,1672,7235,6166,4847,3847,3843
000605,방배로23길,36620,18433,18187,850,9098,9328,6497,5713,5135
000606,방배로31길,147179,76153,71027,10677,30975,32688,27634,22904,22302
